2016/1/16 10:20:52	登录系统	
2016/1/16 10:24:20	登录系统	
2016/1/16 10:26:43	登录系统	
2016/1/16 10:28:53	登录系统	
2016/1/16 10:30:59	登录系统	
2016/1/16 10:32:47	登录系统	
2016/1/16 10:40:20	登录系统	
2016/1/16 10:55:08	登录系统	
2016/1/16 10:57:11	登录系统	
2016/1/16 11:00:03	登录系统	
2016/1/16 11:30:23	登录系统	
2016/1/16 11:31:13	正常退出	
2016/1/16 11:34:11	登录系统	
2016/1/16 12:10:28	登录系统	
2016/1/16 12:12:16	登录系统	
2016/1/16 12:24:43	登录系统	
2016/1/16 12:34:00	登录系统	
2016/1/16 12:35:09	登录系统	
2016/1/16 12:40:02	登录系统	
2016/1/16 12:44:19	登录系统	
2016/1/16 12:52:01	登录系统	
2016/1/16 15:20:52	登录系统	
2016/1/16 15:27:33	正常退出	
